[2023-03-10T13:05:04.713] [ERROR] default - error en api users ruta : /63d145d4ff98ac45b6a7090d, peticion : PUT
[2023-03-20T11:26:19.274] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:26:35.699] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:26:40.667] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:26:46.603] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:27:06.634] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:27:29.193] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:27:46.429] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:27:56.154] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:28:15.367] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:28:22.285] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:28:27.144] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:45:02.197] [WARN] default - RUTA inexistentes  ruta : /users, peticion : GET
[2023-03-20T11:46:20.045] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:46:30.662] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:46:31.876] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:46:32.583] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:46:33.240] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:46:33.700] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:46:34.013] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:46:34.443] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:46:38.198] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:46:40.864] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:47:07.473] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:47:08.688] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:47:09.226] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:47:09.525] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:47:09.872] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:47:10.180] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:47:10.540] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:47:10.976] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:47:11.252] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:47:26.691] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:48:08.090] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:49:41.493] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T11:49:52.547] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T14:15:21.986] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T14:16:40.351] [ERROR] default - error en api users ruta : /sinup, peticion : POST
[2023-03-20T14:17:59.027] [ERROR] default - error en api users ruta : /sinup, peticion : POST
[2023-03-20T14:19:57.779] [ERROR] default - error en api users ruta : /sinup, peticion : POST
[2023-03-20T14:20:04.181] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T14:20:19.916] [ERROR] default - error en api users ruta : /sinup, peticion : POST
[2023-03-20T14:21:44.547] [ERROR] default - error en api users ruta : /sinup, peticion : POST
[2023-03-20T14:22:03.529] [ERROR] default - error en api users ruta : /sinup, peticion : POST
[2023-03-20T14:22:12.926] [ERROR] default - error en api users ruta : /sinup, peticion : POST
[2023-03-20T14:22:23.339] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-20T14:22:33.181] [ERROR] default - error en api users ruta : /sinup, peticion : POST
[2023-03-20T14:22:50.164] [ERROR] default - error en api users ruta : /sinup, peticion : POST
[2023-03-20T14:22:58.671] [ERROR] default - error en api users ruta : /sinup, peticion : POST
[2023-03-21T14:54:27.665] [ERROR] default - error en api users ruta : /login, peticion : POST
[2023-03-21T14:57:45.690] [ERROR] default - error en api Products ruta : /, peticion : POST
