[2023-01-13T16:59:56.901] [WARN] default - RUTA inexistentes  ruta : /infoss, peticion : GET
[2023-01-13T17:00:13.400] [WARN] default - RUTA inexistentes  ruta : /productssd, peticion : GET
[2023-01-13T17:01:41.970] [WARN] default - RUTA inexistentes  ruta : /productssd, peticion : GET
[2023-01-13T17:03:05.054] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-13T17:04:27.402] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-13T17:07:56.960] [WARN] default - RUTA inexistentes  ruta : /productssd, peticion : GET
[2023-01-13T17:09:06.870] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-13T17:13:07.381] [WARN] default - RUTA inexistentes  ruta : /perfil, peticion : GET
[2023-01-13T17:14:01.806] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-13T17:14:13.992] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-13T17:14:48.867] [ERROR] default - error en api Products ruta : /, peticion : POST
[2023-01-13T17:14:57.768] [ERROR] default - error en api Products ruta : /, peticion : POST
[2023-01-13T17:14:59.892] [ERROR] default - error en api Products ruta : /, peticion : POST
[2023-01-13T17:15:01.150] [ERROR] default - error en api Products ruta : /, peticion : POST
[2023-01-13T17:15:31.101] [ERROR] default - error en api Products ruta : /, peticion : POST
[2023-01-13T17:15:52.829] [ERROR] default - error en api Products ruta : /2, peticion : PUT
[2023-01-13T17:16:00.594] [ERROR] default - error en api Products ruta : /3, peticion : PUT
[2023-01-14T10:43:17.256] [ERROR] default - El objeto con id 5 no existe 
[2023-01-14T10:43:45.084] [ERROR] default - El objeto con id 5 no existe 
[2023-01-14T10:43:47.726] [ERROR] default - El objeto con id 5 no existe 
[2023-01-14T10:43:50.548] [ERROR] default - El objeto con id 5 no existe 
[2023-01-14T10:44:09.490] [ERROR] default - El objeto con id 5 no existe 
[2023-01-14T10:48:12.196] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-14T10:48:15.293] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-14T10:49:00.282] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-14T10:49:01.927] [ERROR] default - El campo title esta vacio 
[2023-01-14T10:49:01.930] [ERROR] default - error en api Products ruta : /, peticion : POST
[2023-01-14T10:49:37.870] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-14T10:49:39.621] [ERROR] default - El campo title esta vacio 
[2023-01-14T10:49:53.191] [ERROR] default - El campo title esta vacio 
[2023-01-14T10:49:53.195] [ERROR] default - error en api Products ruta : /, peticion : POST
[2023-01-14T10:49:53.726] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-14T10:49:56.044] [ERROR] default - El campo title esta vacio 
[2023-01-14T10:49:56.045] [ERROR] default - error en api Products ruta : /, peticion : POST
[2023-01-14T10:49:56.309] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-14T10:50:24.870] [WARN] default - RUTA inexistentes  ruta : /alt=%22img%22, peticion : GET
[2023-01-25T09:09:44.111] [WARN] default - { error: '-1, descripcion: ruta /:id método GET no autorizada' }
[2023-01-25T09:24:25.137] [ERROR] default - error en api Products ruta : /, peticion : POST, error el formato no es correcto
[2023-01-25T09:24:31.741] [ERROR] default - error en api Products ruta : /, peticion : POST, error el formato no es correcto
[2023-01-25T09:26:06.961] [ERROR] default - error en api Products ruta : /5, peticion : PUT, error producto no encontrado
[2023-01-25T09:26:14.232] [ERROR] default - error en api Products ruta : /4, peticion : PUT, error producto no encontrado
[2023-01-25T09:31:57.268] [WARN] default -  error : -2, descripcion: ruta /api/carrito/ método GET no implementada
[2023-01-25T10:00:04.898] [WARN] default -  error : -2, descripcion: ruta /api/carrito/637702584f5ead0f362260c4 método GET no implementada
[2023-01-25T10:45:17.220] [WARN] default -  error : -2, descripcion: ruta /api/randoms método GET no implementada
[2023-01-25T10:45:24.155] [WARN] default -  error : -2, descripcion: ruta / método GET no implementada
[2023-01-25T10:45:36.589] [WARN] default -  error : -2, descripcion: ruta / método GET no implementada
[2023-01-25T10:47:11.997] [WARN] default -  error : -2, descripcion: ruta /profile método GET no implementada
[2023-01-25T10:47:22.099] [WARN] default -  error : -2, descripcion: ruta /index.js método GET no implementada
[2023-01-25T10:47:26.320] [WARN] default -  error : -2, descripcion: ruta /index.js método GET no implementada
[2023-01-25T10:47:33.363] [WARN] default -  error : -2, descripcion: ruta /index.js método GET no implementada
[2023-01-25T10:49:03.482] [WARN] default -  error : -2, descripcion: ruta /info método GET no implementada
[2023-01-25T10:49:34.921] [WARN] default -  error : -2, descripcion: ruta /products método GET no implementada
[2023-01-25T10:51:45.547] [WARN] default -  error : -2, descripcion: ruta /products método GET no implementada
[2023-01-25T10:55:11.299] [WARN] default -  error : -2, descripcion: ruta /api/products método GET no implementada
[2023-01-25T10:55:14.309] [WARN] default -  error : -2, descripcion: ruta /api/products método GET no implementada
[2023-01-25T10:55:19.462] [WARN] default -  error : -2, descripcion: ruta /api/products método GET no implementada
[2023-01-25T10:55:20.124] [WARN] default -  error : -2, descripcion: ruta /api/products método GET no implementada
[2023-01-25T10:55:20.700] [WARN] default -  error : -2, descripcion: ruta /api/products método GET no implementada
[2023-01-25T10:55:21.265] [WARN] default -  error : -2, descripcion: ruta /api/products método GET no implementada
